,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Class
0,17,216631,6,0,2088,0,393,321,348,35.08846,0,0,0,0,9638.51,27.696867,43326.2,59304.016,108616,0,216631,43326.2,59304.016,108616,0,0,0,0,0,0,0,0,0,0,96,0,27.696867,0,321,393,344.14285,33.617596,1130.1428,0,0,0,0,0,0,0,0,0,401.5,348,0,0,0,0,0,0,0,6,2088,0,0,-1,-1,5,14,0,0,0,0,0,0,0,0,UDP,Attack
1,17,2,2,0,802,0,401,401,401,0,0,0,0,0,401000000,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,40,0,1000000,0,401,401,401,0,0,0,0,0,0,0,0,0,0,0,601.5,401,0,0,0,0,0,0,0,2,802,0,0,-1,-1,1,20,0,0,0,0,0,0,0,0,UDP,Attack
2,17,48,2,0,766,0,383,383,383,0,0,0,0,0,15958333,41666.668,48,0,48,48,48,48,0,48,48,0,0,0,0,0,0,0,0,0,40,0,41666.668,0,383,383,383,0,0,0,0,0,0,0,0,0,0,0,574.5,383,0,0,0,0,0,0,0,2,766,0,0,-1,-1,1,20,0,0,0,0,0,0,0,0,UDP,Attack
3,17,107319,4,0,1398,0,369,330,349.5,22.51666,0,0,0,0,13026.584,37.272057,35773,61959.79,107318,0,107319,35773,61959.79,107318,0,0,0,0,0,0,0,0,0,0,80,0,37.272057,0,330,369,345.6,21.36118,456.3,0,0,0,0,0,0,0,0,0,432,349.5,0,0,0,0,0,0,0,4,1398,0,0,-1,-1,3,20,0,0,0,0,0,0,0,0,UDP,Attack
4,17,107271,4,0,1438,0,389,330,359.5,34.063667,0,0,0,0,13405.301,37.288734,35757,61931.207,107269,1,107271,35757,61931.207,107269,1,0,0,0,0,0,0,0,0,0,32,0,37.288734,0,330,389,353.6,32.31563,1044.3,0,0,0,0,0,0,0,0,0,442,359.5,0,0,0,0,0,0,0,4,1438,0,0,-1,-1,3,8,0,0,0,0,0,0,0,0,UDP,Attack
5,17,48,2,0,802,0,401,401,401,0,0,0,0,0,16708333,41666.668,48,0,48,48,48,48,0,48,48,0,0,0,0,0,0,0,0,0,40,0,41666.668,0,401,401,401,0,0,0,0,0,0,0,0,0,0,0,601.5,401,0,0,0,0,0,0,0,2,802,0,0,-1,-1,1,20,0,0,0,0,0,0,0,0,UDP,Attack
6,17,1,2,0,766,0,383,383,383,0,0,0,0,0,766000000,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,16,0,2000000,0,383,383,383,0,0,0,0,0,0,0,0,0,0,0,574.5,383,0,0,0,0,0,0,0,2,766,0,0,-1,-1,1,8,0,0,0,0,0,0,0,0,UDP,Attack
7,17,109142,4,0,1438,0,389,330,359.5,34.063667,0,0,0,0,13175.496,36.6495,36380.668,62968.133,109090,1,109142,36380.668,62968.133,109090,1,0,0,0,0,0,0,0,0,0,-2125437880,0,36.6495,0,330,389,353.6,32.31563,1044.3,0,0,0,0,0,0,0,0,0,442,359.5,0,0,0,0,0,0,0,4,1438,0,0,-1,-1,3,-1062718972,0,0,0,0,0,0,0,0,UDP,Attack
8,17,1,2,0,802,0,401,401,401,0,0,0,0,0,802000000,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,40,0,2000000,0,401,401,401,0,0,0,0,0,0,0,0,0,0,0,601.5,401,0,0,0,0,0,0,0,2,802,0,0,-1,-1,1,20,0,0,0,0,0,0,0,0,UDP,Attack
9,17,215834,6,0,2088,0,393,321,348,35.08846,0,0,0,0,9674.102,27.799143,43166.8,59122.97,109846,1,215834,43166.8,59122.97,109846,1,0,0,0,0,0,0,0,0,0,120,0,27.799143,0,321,393,344.14285,33.617596,1130.1428,0,0,0,0,0,0,0,0,0,401.5,348,0,0,0,0,0,0,0,6,2088,0,0,-1,-1,5,20,0,0,0,0,0,0,0,0,UDP,Attack
